Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Jeimer Candelario,0.5536666666666666,0.80100834,1B,2850000,Detroit Tigers,0.2810555578947368
Jesse Winker,0.6853333333333333,0.8046116999999999,LF,3150000,Cincinnati Reds,0.2554322857142857
Jesus Aguilar,0.7305,0.80341464,1B,4350000,Miami Marlins,0.18469302068965518
Jesus Sanchez,0.6785,0.80174255,OF,575000,Miami Marlins,1.3943348695652176
Ji-Man Choi,0.6823333333333333,0.7988441999999999,1B,2450000,Tampa Bay Rays,0.3260588571428571
Joc Pederson,0.8480000000000001,0.83299965,LF,4500000,Atlanta Braves,0.18511103333333334
Joe Panik,0.7392000000000001,0.8012081,2B,1850000,Miami Marlins,0.4330854594594594
Joey Gallo,0.7140000000000001,0.8070048000000001,RF,6200000,Texas Rangers,0.13016206451612902
Jon Berti,0.722,0.79287267,2B,607500,Miami Marlins,1.305140197530864
Jonathan Schoop,0.6743333333333333,0.8011173,2B,4500000,Detroit Tigers,0.17802606666666665
Jonathan Villar,0.599,0.7819126999999999,OF,3550000,New York Mets,0.22025709859154927
Jordan Luplow,0.63,0.7935547,LF,581500,Cleveland Indians,1.3646684436801375
Jorge Alfaro,0.6233333333333333,0.77965105,C,2050000,Miami Marlins,0.3803175853658537
Jorge Ona,0.556,0.76871794,OF,570500,San Diego Padres,1.347445994741455
Jorge Soler,0.7130000000000001,0.806167,DH,8050000,Kansas City Royals,0.10014496894409938
Jose Abreu,0.858,0.8211295,1B,17666666,Chicago White Sox,0.046479030055812456
Jose Devers,0.322,0.7201039,SS,570500,Miami Marlins,1.262232953549518
Jose Iglesias,0.7216666666666667,0.80605763,SS,3500000,Los Angeles Angels,0.23030218
Jose Lobaton,0.6920000000000001,0.7927350000000001,C,1000000,Chicago Cubs,0.7927350000000001
Jose Martinez,0.5696666666666667,0.7892391,1B,1000000,New York Mets,0.7892391
Jose Peraza,0.6409999999999999,0.78406703,SS,575000,New York Mets,1.3635948347826088
Jose Ramirez,0.606,0.78438455,3B,9400000,Cleveland Indians,0.08344516489361702
Josh Bell,0.6596666666666666,0.7856535,1B,6350000,Washington Nationals,0.12372496062992126
Josh Donaldson,0.7939999999999999,0.8239491,3B,21000000,Minnesota Twins,0.03923567142857143
Josh Harrison,0.7106666666666666,0.8025709,2B,1000000,Washington Nationals,0.8025709
Josh Naylor,0.67125,0.7934342,RF,577500,Cleveland Indians,1.3739120346320346
Juan Soto,0.7166666666666667,0.81315035,RF,8500000,Washington Nationals,0.09566474705882354
Jurickson Profar,0.6086666666666667,0.78608394,2B,4333333,San Diego Padres,0.181404000108
Justin Turner,0.544,0.76871794,3B,12000000,Los Angeles Dodgers,0.06405982833333335
Justin Upton,0.411,0.753637,LF,23000000,Los Angeles Angels,0.032766826086956524
Ketel Marte,0.6919999999999998,0.8084326000000001,CF,6000000,Arizona Diamondbacks,0.13473876666666668
Kevin Kiermaier,0.7609999999999999,0.81173563,CF,11666666,Tampa Bay Rays,0.06957734369013392
Kevin Pillar,0.506,0.7758415,CF,3600000,New York Mets,0.21551152777777777
Kevin Plawecki,0.7586666666666667,0.80165833,C,1600000,Boston Red Sox,0.50103645625
Kole Calhoun,0.731,0.8138192,RF,8000000,Arizona Diamondbacks,0.1017274
Kolten Wong,0.7233333333333333,0.8011191999999999,2B,7500000,Milwaukee Brewers,0.10681589333333331
Kris Bryant,0.7079999999999999,0.8026708,3B,19500000,Chicago Cubs,0.041162605128205125
Kurt Suzuki,0.7076666666666666,0.8078723000000001,C,1500000,Los Angeles Angels,0.5385815333333334
Kyle Garlick,0.5823333333333334,0.78877395,RF,570500,Minnesota Twins,1.382601139351446
Kyle Higashioka,0.5710000000000001,0.78305894,C,594000,New York Yankees,1.3182810437710437
Kyle Lewis,0.609,0.7959748000000001,CF,625000,Seattle Mariners,1.2735596800000002
Kyle Schwarber,0.7473333333333333,0.8015005000000001,LF,7000000,Washington Nationals,0.11450007142857144
Kyle Seager,0.6926666666666667,0.8048803000000001,3B,18500000,Seattle Mariners,0.04350704324324325
Leury Garcia,0.7686666666666667,0.81533015,OF,3500000,Chicago White Sox,0.23295147142857142
Lorenzo Cain,0.8959999999999999,0.8075689,CF,16000000,Milwaukee Brewers,0.05047305625
Luis Robert,0.6345000000000001,0.7856014,CF,3500000,Chicago White Sox,0.22445754285714287
Luke Voit,0.68375,0.8059618000000001,1B,4700000,New York Yankees,0.17148123404255322
Maikel Franco,0.6326666666666666,0.79276097,3B,800000,Baltimore Orioles,0.9909512125
