Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Jesus Aguilar,0.7305,0.79726374,1B,4350000,Miami Marlins,0.18327902068965518
Jesus Sanchez,0.6785,0.8001198,OF,575000,Miami Marlins,1.391512695652174
Ji-Man Choi,0.6823333333333333,0.80733955,1B,2450000,Tampa Bay Rays,0.3295263469387755
Joc Pederson,0.8480000000000001,0.8209453000000001,LF,4500000,Atlanta Braves,0.1824322888888889
Joe Panik,0.7392000000000001,0.8092421,2B,1850000,Miami Marlins,0.4374281621621621
Joey Gallo,0.7140000000000001,0.79056865,RF,6200000,Texas Rangers,0.12751107258064517
Jon Berti,0.722,0.7909602,2B,607500,Miami Marlins,1.301992098765432
Jonathan Schoop,0.6743333333333333,0.7986270999999999,2B,4500000,Detroit Tigers,0.17747268888888887
Jonathan Villar,0.599,0.79792446,OF,3550000,New York Mets,0.22476745352112673
Jordan Luplow,0.63,0.8040543000000001,LF,581500,Cleveland Indians,1.382724505588994
Jorge Alfaro,0.6233333333333333,0.7933706,C,2050000,Miami Marlins,0.3870100487804878
Jorge Ona,0.556,0.7769191,OF,570500,San Diego Padres,1.3618213847502192
Jorge Soler,0.7130000000000001,0.7769191,DH,8050000,Kansas City Royals,0.0965116894409938
Jose Abreu,0.858,0.8180592,1B,17666666,Chicago White Sox,0.04630523948321658
Jose Devers,0.322,0.7769191,SS,570500,Miami Marlins,1.3618213847502192
Jose Iglesias,0.7216666666666667,0.7815076999999999,SS,3500000,Los Angeles Angels,0.22328791428571426
Jose Lobaton,0.6920000000000001,0.7769191,C,1000000,Chicago Cubs,0.7769191
Jose Martinez,0.5696666666666667,0.7769191,1B,1000000,New York Mets,0.7769191
Jose Peraza,0.6409999999999999,0.7953709,SS,575000,New York Mets,1.3832537391304347
Jose Ramirez,0.606,0.78861463,3B,9400000,Cleveland Indians,0.08389517340425531
Josh Bell,0.6596666666666666,0.7769191,1B,6350000,Washington Nationals,0.12234946456692912
Josh Donaldson,0.7939999999999999,0.82078046,3B,21000000,Minnesota Twins,0.03908478380952381
Josh Harrison,0.7106666666666666,0.8019573,2B,1000000,Washington Nationals,0.8019573
Josh Naylor,0.67125,0.7947874,RF,577500,Cleveland Indians,1.3762552380952382
Juan Soto,0.7166666666666667,0.79105073,RF,8500000,Washington Nationals,0.09306479176470589
Jurickson Profar,0.6086666666666667,0.783767,2B,4333333,San Diego Padres,0.18086932160533242
Justin Turner,0.544,0.78042215,3B,12000000,Los Angeles Dodgers,0.06503517916666667
Justin Upton,0.411,0.7769191,LF,23000000,Los Angeles Angels,0.03377909130434782
Ketel Marte,0.6919999999999998,0.81805104,CF,6000000,Arizona Diamondbacks,0.13634184
Kevin Kiermaier,0.7609999999999999,0.80869776,CF,11666666,Tampa Bay Rays,0.06931695481811172
Kevin Pillar,0.506,0.780208,CF,3600000,New York Mets,0.21672444444444447
Kevin Plawecki,0.7586666666666667,0.80900556,C,1600000,Boston Red Sox,0.5056284750000001
