Player,Real,Predicted
Dustin Fowler,0.777,0.8263036
Dustin Garneau,0.63775,0.77814525
Dustin Pedroia,0.6485000000000001,0.799042
Dustin Peterson,0.81,0.85505605
Dwight Smith,0.669,0.79903185
Dylan Carlson,0.8280000000000001,0.8155109
Dylan Moore,0.7200000000000001,0.8076042
Eddie Rosario,0.7803333333333334,0.7946441
Eddy Alvarez,0.602,0.77654016
Edmundo Sosa,0.7616666666666667,0.8273654
Eduardo Escobar,0.6633333333333333,0.8266346
Eduardo Nunez,0.6679999999999999,0.80557597
Edward Olivares,0.7906666666666667,0.8149974
Edwin Encarnacion,0.5529999999999999,0.7948894
Edwin Rios,0.5690000000000001,0.7704434
Efren Navarro,0.527,0.7165546
Ehire Adrianza,0.6763333333333333,0.76435876
Eli White,0.7464999999999999,0.81877923
Elias Diaz,0.7720000000000001,0.80920804
Elliot Soto,0.435,0.7370536
Eloy Jimenez,0.7849999999999999,0.8211522
Elvis Andrus,0.606,0.7763969
Emmanuel Rivera,0.653,0.7859426
Ender Inciarte,0.684,0.8112434
Engelb Vielma,0.63,0.7173222
Enrique Hernandez,0.673,0.7739048
Eric Campbell,0.49700000000000005,0.7689784
Eric Haase,0.5165,0.7783743
Eric Hosmer,0.7840000000000001,0.8304455
Eric Sogard,0.729,0.79154706
Eric Stamets,0.627,0.76456743
Eric Thames,0.538,0.761906
Erick Mejia,0.734,0.8172813
Erik Gonzalez,0.6429999999999999,0.7850948
Erik Kratz,0.586,0.7780776
Ernie Clement,0.873,0.8535513
Estevan Florial,0.669,0.8121798
Eugenio Suarez,0.7186666666666666,0.8111869
Evan Longoria,0.7133333333333334,0.7812949
Evan White,1.116,0.809099
Fernando Tatis,0.6920000000000001,0.80417836
Franchy Cordero,0.7806666666666667,0.8119253
Francisco Cervelli,0.714,0.7869028
Francisco Lindor,0.6293333333333334,0.80587816
Francisco Mejia,0.7090000000000001,0.81189454
Frank Schwindel,0.543,0.7970815
Franklin Barreto,0.7595000000000001,0.8254286
Franmil Reyes,0.579,0.798748
Freddie Freeman,0.492,0.7767785
Freddy Galvis,0.7262500000000001,0.8212139
Gabriel Guerrero,0.444,0.7860794
Garrett Cooper,0.5873333333333334,0.75529295
Garrett Hampson,0.7639999999999999,0.8298773
Garrett Stubbs,0.6336666666666667,0.78424823
Gary Sanchez,0.731,0.8059692
Gavin Lux,0.9623333333333334,0.8343176
Gavin Sheets,0.685,0.81488866
George Springer,0.7196666666666666,0.821215
Geraldo Perdomo,0.6940000000000001,0.83333045
Gerardo Parra,0.734,0.83340156
Giancarlo Stanton,0.617,0.79570276
Gift Ngoepe,0.6659999999999999,0.79339135
Gilberto Celestino,0.7,0.8293175
Gio Urshela,0.54,0.76918817
Gleyber Torres,0.8273333333333334,0.8222728
Gordon Beckham,0.7509999999999999,0.8176274
Gorkys Hernandez,0.489,0.76966804
Grayson Greiner,0.9763333333333334,0.7839716
Greg Allen,0.68075,0.79736
Greg Bird,0.583,0.7806231
Greg Garcia,0.7929999999999999,0.83940524
Gregory Polanco,0.6349999999999999,0.8099374
Guillermo Heredia,0.78325,0.8088463
Ha-Seong Kim,1.601,0.84000593
Hanley Ramirez,1.0,0.81121427
Hanser Alberto,0.5459999999999999,0.8093777
Harold Castro,0.776,0.79312956
Harold Ramirez,0.6920000000000001,0.79236436
Harrison Bader,0.6863333333333332,0.787676
Hernan Perez,0.73,0.81321293
Howie Kendrick,0.6060000000000001,0.8134976
Humberto Arteaga,0.847,0.8562902
Hunter Dozier,0.677,0.78629285
Hunter Owen,0.8540000000000001,0.8567459
Hunter Pence,0.808,0.8374255
Hunter Renfroe,0.5726666666666667,0.7922819
Ian Desmond,0.674,0.8221978
Ian Happ,0.6203333333333333,0.75325024
Ian Kinsler,0.647,0.8146585
Ian Miller,0.449,0.7375172
Ichiro Suzuki,0.597,0.7584399
Ildemaro Vargas,0.7408750000000001,0.79977673
Isaac Galloway,0.6409999999999999,0.75820345
Isaac Paredes,0.6775,0.8049282
Isan Diaz,0.642,0.8002431
Isiah Kiner-Falefa,0.5416666666666667,0.78261864
Ivan Castillo,0.513,0.7308567
J.B. Shuck,0.618,0.8211739
J.D. Davis,0.67,0.78475404
J.D. Martinez,0.7846666666666667,0.80207485
J.P. Crawford,0.6486666666666666,0.7590667
J.T. Realmuto,0.5780000000000001,0.79406834
JT Riddle,0.6430000000000001,0.75922835
JaCoby Jones,0.7636666666666666,0.82004285
Jace Peterson,0.8727499999999999,0.8444504
Jack Mayfield,0.47375,0.75616664
Jackie Bradley,0.6816666666666666,0.7968497
Jacob Nottingham,0.6437999999999999,0.8037702
Jacob Stallings,0.7713333333333333,0.8035111
Jacob Wilson,0.675,0.7871891
Jahmai Jones,0.624,0.7945996
Jake Bauers,0.6176666666666667,0.77241224
Jake Burger,0.782,0.8414427
Jake Cave,0.8596666666666667,0.84141904
Jake Cronenworth,0.4605,0.7604894
Jake Elmore,0.462,0.7831471
Jake Fraley,0.482,0.77803755
Jake Hager,0.695,0.77375025
Jake Lamb,0.5489999999999999,0.8114081
Jake Marisnick,0.6233333333333334,0.7902735
Jake Noll,0.8075,0.82536983
Jake Rogers,0.841,0.84259385
Jakson Reetz,0.792,0.834978
James McCann,0.7063333333333333,0.8053609
Jared Oliva,0.7869999999999999,0.8295237
Jared Walsh,0.7293333333333333,0.8031524
Jarred Kelenic,0.435,0.7405062
Jarren Duran,0.623,0.7801418
Jarrett Parker,0.777,0.82145476
Jarrod Dyson,0.676,0.78787255
Jarrod Saltalamacchia,0.8059999999999999,0.80451006
Jason Castro,0.472,0.7738082
Jason Heyward,0.934,0.8049985
Jason Kipnis,0.6555,0.7815557
Jason Martin,0.6503333333333333,0.8128206
Jason Vosler,0.8490000000000001,0.85295826
Javier Baez,0.6613333333333333,0.7883409
Jay Bruce,0.7435,0.8331995
Jaylin Davis,0.7773333333333333,0.8121064
Jazz Chisholm,0.71,0.79931164
Jean Segura,0.7083333333333334,0.821002
Jed Lowrie,0.8009999999999999,0.8527109
Jedd Gyorko,0.7173333333333334,0.810082
Jeff Mathis,0.7825,0.8542669
Jeff McNeil,1.1096666666666668,0.80536085
Jeimer Candelario,0.5536666666666666,0.7637126
Jesse Winker,0.6853333333333333,0.80972546
Jesus Aguilar,0.7305,0.7980033
Jesus Sanchez,0.6785,0.7978318
Jesus Sucre,0.583,0.7889326
Ji-Man Choi,0.6823333333333333,0.79622257
Jo Adell,0.6559999999999999,0.76466835
Joc Pederson,0.8480000000000001,0.8268452
Joe Hudson,0.6275000000000001,0.78873783
Joe Odom,0.99,0.8534539
Joe Panik,0.7392000000000001,0.7999133
Joey Bart,0.712,0.7999226
Joey Gallo,0.714,0.8428657
Joey Rickard,0.6933333333333334,0.7933809
Joey Votto,0.597,0.79716355
